Isolate_ID,Organism,Source,Antibiotic,MIC,Interpretation,Scored_Resistance,ESBL,MAR_Index,Antibiotic_Class
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,AMO,2.0,0,1,2,0.05,Penicillin + β-lactamase inhibitor
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,TR/SL,20.0,0,1,2,0.05,Diaminopyrimidines/Sulfonamide
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,CFX,4,0,1,2,0.05,Cephalosporin
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,CHL,2.0,0,1,2,0.05,Phenicols
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,AMP,32.0,2,1,2,0.05,Penicillin
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,DOX,1.0,0,1,2,0.05,Tetracycline
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,NIT,64.0,1,1,2,0.05,Furanes
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,ENR,0.12,0,1,2,0.05,Fluoroquinolone
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,GEN,1.0,0,1,2,0.05,Aminoglycoside
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,TET,1.0,0,1,2,0.05,Tetracycline
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,IME,0.25,0,1,2,0.05,Carbapenem
EC_DWR1C1,Klebsiella pneumoniae ssp pneumoniae,DW,AMI,2.0,0,1,2,0.05,Aminoglycoside
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,AMO,4.0,0,1,2,0.05,Penicillin + β-lactamase inhibitor
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,TR/SL,20.0,0,1,2,0.05,Diaminopyrimidines/Sulfonamide
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,CFX,4,0,1,2,0.05,Cephalosporin
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,CHL,2.0,0,1,2,0.05,Phenicols
