Organism,Isolate_Code,Target_Bacteria,National_Site,Local_Site,Sample_Source,Replicate,Colony,ESBL,Ampicillin_MIC,Ampicillin_INT,Amoxicillin/Clavulanic Acid_MIC,Amoxicillin/Clavulanic Acid_INT,Ceftaroline_MIC,Ceftaroline_INT,Cefalexin_MIC,Cefalexin_INT,Cefalotin_MIC,Cefalotin_INT,Cefpodoxime_MIC,Cefpodoxime_INT,Cefotaxime_MIC,Cefotaxime_INT,Cefovecin_MIC,Cefovecin_INT,Ceftiofur_MIC,Ceftiofur_INT,Ceftazidime/Avibactam_MIC,Ceftazidime/Avibactam_INT,Imepenem_MIC,Imepenem_INT,Amikacin_MIC,Amikacin_INT,Gentamicin_MIC,Gentamicin_INT,Neomycin_MIC,Neomycin_INT,Nalidixic Acid_MI,Nalidixic Acid_INT,Enrofloxacin_MIC,Enrofloxacin_INT,Marbofloxacin_MIC,Marbofloxacin_INT,Pradofloxacin_MIC,Pradofloxacin_INT,Doxycycline_MIC,Doxycycline_INT,Tetracycline_MIC,Tetracycline_INT,Nitrofurantoin_MIC, Nitrofurantoin_INT,Chloramphenicol_MIC,Chloramphenicol_INT,Trimethoprim/Sulfamethazole_MIC,Trimethoprim/Sulfamethazole_INT,Scored Resistance,MAR INDEX
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MDDWR1C1,ESCHERICHIA COLI,MARAWI CITY,DAYAWAN,DRINKING WATER,1,1,NEGATIVE,>=32,R,<=2,S,,S,>=4,S,>=2,S,<=0.25,S,,S,1,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MDDWR1C2,ESCHERICHIA COLI,MARAWI CITY,DAYAWAN,DRINKING WATER,1,2,NEGATIVE,16,*R,4,S,,S,<=4,S,<=2,S,<=0.25,S,,S,1,S,<=1,S,,S,,S,<=2,S,<=1,S,<=2,S,,,<=2,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MDDWR2C3,ESCHERICHIA COLI,MARAWI CITY,DAYAWAN,DRINKING WATER,2,3,NEGATIVE,16,*R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,SAL_MDDWR2C1,SALMONELLA SPP.,MARAWI CITY,DAYAWAN,DRINKING WATER,2,1,NEGATIVE,>=32,R,4,S,,,>=64,R,>=64,R,>=8,R,,,>=8,R,>=8,R,,,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=2,I,<=0.5,S,<=0.12,S,>=16,R,>=16,R,128,R,8,S,8,S,9,0.41
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,SAL_MDDWR2C2,SALMONELLA SPP.,MARAWI CITY,DAYAWAN,DRINKING WATER,2,2,NEGATIVE,<=2,S,<=2,S,,S,8,S,8,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,2,S,<=1,S,<=1,I,4,S,<=20,S,0,0
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MDLWR1C1,ESCHERICHIA COLI,MARAWI CITY,DAYAWAN,LAKE WATER,1,1,,,,<=2,S,,,>=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,<=0.5,S,<=1,S,<=16,S,<=2,S,<=20,S,0,0
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MDLWR1C6,ESCHERICHIA COLI,MARAWI CITY,DAYAWAN,LAKE WATER,1,6,NEGATIVE,16,*R,8,S,,S,>=4,S,<=2,S,<=0.25,S,,S,1,S,<=1,S,,S,<=0.5,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,4,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MDLWR1C12,ESCHERICHIA COLI,MARAWI CITY,DAYAWAN,LAKE WATER,1,12,,,,<=32,R,,,>=64,R,>=64,R,2,S,,,>=8,R,2,S,,S,1,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,4,S,2,S,64,I,8,S,<=20,S,4,0.21
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MDLWR2C4,ESCHERICHIA COLI,MARAWI CITY,DAYAWAN,LAKE WATER,2,4,,,,<=2,*R,,,>=64,R,32,R,<=0.25,S,,S,<=0.5,S,<=1,S,,S,0.5,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,3,0.15
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MDLWR2C8,ESCHERICHIA COLI,MARAWI CITY,DAYAWAN,LAKE WATER,2,8,NEGATIVE,>=32,R,8,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,<=16,S,<=2,S,<=20,S,1,0.05
